Mn i W 9-10A, 50 BARROWS
W 10-11A, 225 DWINELLE
MW 11-12P, 180 BARROWS
W 12-1P, 180 BARROWS
MW 4-530P, 180 BARROWS
W 3-4P, 89 DWINELLE (effective 09/09/15)
TuTh 2-330P, 180 TAN
Tu 8-9A, 136 BARROWS
Tu 9-10A, 123 WHEELER
W 11-12P, 140 BARROWS
TuTh 11-1230P, 20 BARROWS
W 8-9A, 587 BARROWS
W 10-11A, 238 KROEBER
Tu 4-5P, 104 BARROWS
MTuWTh 12-1P, 204 WHEELER
MTuWTh 9-10A, 54 BARROWS
Tu 10-12P, 233 DWINELLE
W 2-3P, 174 BARROWS
Tu 1-3P, 650 BARROWS
TuTh 1230-2P, 105 NORTH GATE
Tu 9-10A, 105 LATIMER
Tu 10-11A, 123 WHEELER
W 10-11A, B5 HEARST ANNEX
W 11-12P, 104 BARROWS
W 4-5P, 106 WHEELER
MTuWTh 1-2P, 186 BARROWS
Tu 5-6P, 78 BARROWS
Tu 6-7P, 50 BARROWS
TuTh 10-12P, 104 BARROWS
TuTh 330-5P, B5 HEARST ANNEX
M 10-12P, 126 BARROWS
W 11-12P, 126 BARROWS
W 3-6P, 87 DWINELLE (effective 09/16/15)
TuTh 1230-2P, 60 BARROWS
M 2-5P, 140 BARROWS
W 2-5P, 54 BARROWS
TuTh 930-11A, 155 KROEBER
M 5-8P, 650 BARROWS (effective 09/14/15)
M 2-5P, 223 DWINELLE (effective 09/14/15)
TuTh 10-12P, 190 BARROWS
TuTh 12-2P, 136 BARROWS
MW 4-6P, 50 BARROWS
M 4-5P, NO FACILITY
M 4-5P,
Tu 6-7P, 78 BARROWS
Tu 5-6P, 50 BARROWS
Th 330-630P, 31 EVANS
M 2-5P, 210 DWINELLE
W 4-7P, 65 EVANS
W 2-5P, 115 BARROWS
TuTh 2-330P, 101 BARKER
M 9-10A, 2030 VALLEY LSB
W 8-9A, 2030 VALLEY LSB
W 4-5P, 2066 VALLEY LSB
F 2-3P, 2030 VALLEY LSB
TuTh 2-330P, 2040 VALLEY LSB
M 3-4P, 201 GIANNINI
W 8-9A, 201 GIANNINI
W 9-10A, 201 GIANNINI
F 2-3P, 201 GIANNINI
TuTh 330-5P, 3 LECONTE
M 9-10A, 2038 VALLEY LSB
M 2-3P, 246 DWINELLE
W 4-5P, 109 DWINELLE (effective 09/02/15)
F 3-4P, B51 HILDEBRAND (effective 09/11/15)
TuTh 1230-2P, 141 GIANNINI
M 12-2P, 124 MULFORD
F 10-12P, 124 MULFORD
TuTh 930-11A, 20 BARROWS
W 9-10A, 103 MOFFITT
W 4-5P, 3109 ETCHEVERRY
TuTh 2-330P, 3 LECONTE
Tu 8-9A, 2011 VALLEY LSB
W 11-12P, 203 WHEELER
Th 4-5P, 130 DWINELLE
MWF 11-12P, 100 LEWIS
M 1-2P, 103 GPB
M 2-3P, 109 MORGAN
W 3-4P, 209 DWINELLE
W 4-5P, 160 DWINELLE
M 3-4P, 215 DWINELLE
W 2-3P, 242 HEARST GYM
MW 9-10A, 141 GIANNINI
W 4-5P, 201 GIANNINI (effective 09/02/15)
F 10-11A, 201 GIANNINI
TuTh 930-11A, 534 DAVIS
MW 4-530P, 120 LATIMER
M 9-10A, 179 STANLEY
M 10-11A, 254 SUTARDJA DAI
M 3-4P, 24 WHEELER
M 2-3P, 9 EVANS
Tu 9-10A, 101 WHEELER (effective 09/08/15)
Tu 8-9A, 121 WHEELER
TuTh 2-330P, 201 GIANNINI
W 9-10A, 321 HAVILAND
MW 5-630P, 201 GIANNINI
TuTh 11-1230P, 103 MOFFITT (effective 09/03/15)
M 9-10A, 103 MOFFITT
TuTh 1230-2P, 332 GIANNINI (effective 09/01/15)
TuTh 330-5P, 201 GIANNINI
W 10-12P, 247 CORY
Tu 12-2P, 230 MULFORD
M 12-2P, 234 GIANNINI
W 9-10A, 234 GIANNINI
M 12-2P, 234 GIANNINI
TuTh 930-11A, 50 BIRGE
Tu 12-1P, 587 BARROWS
Tu 1-2P, 179 STANLEY
W 3-4P, 385 LECONTE
W 4-5P, 75 EVANS
TuTh 330-5P, 310 HEARST MIN
W 9-10A, 221 WHEELER
W 10-11A, 300 WHEELER
MW 12-2P, 390 HEARST MIN
MW 12-2P, 390 HEARST MIN
TuTh 11-1230P, 180 TAN
M 2-5P, 203 WHEELER
TuTh 11-1230P, 30 WHEELER
M 2-5P, 140 BARROWS
TuTh 2-330P, 101 WURSTER
Th 12-2P, 4 EVANS
M 10-12P, 385 LECONTE
W 10-12P, 4 EVANS
TuTh 8-930A, 105 STANLEY
M 9-10A, 74 BARROWS
M 10-11A, 74 BARROWS
M 11-12P, 74 BARROWS
M 12-1P, 74 BARROWS
M 1-2P, 74 BARROWS
M 4-5P, 74 BARROWS
Tu 11-12P, 74 BARROWS
Tu 12-1P, 74 BARROWS
Tu 1-2P, 74 BARROWS
Tu 2-3P, 74 BARROWS
Tu 3-4P, 74 BARROWS
Tu 4-5P, 74 BARROWS
W 9-10A, 74 BARROWS
W 10-11A, 74 BARROWS
W 11-12P, 74 BARROWS
W 2-3P, 74 BARROWS
W 3-4P, 74 BARROWS
Th 11-12P, 74 BARROWS
Th 12-1P, 74 BARROWS
Th 1-2P, 74 BARROWS
Th 2-3P, 74 BARROWS
Th 3-4P, 74 BARROWS
TuTh 8-930A, 2050 VALLEY LSB
M 9-10A, 76 BARROWS
M 10-11A, 76 BARROWS
M 11-12P, 76 BARROWS
M 1-2P, 76 BARROWS
Tu 10-11A, 76 BARROWS
Tu 11-12P, 76 BARROWS
Tu 1-2P, 76 BARROWS
W 9-10A, 76 BARROWS
W 10-11A, 76 BARROWS
W 11-12P, 76 BARROWS
W 12-1P, 76 BARROWS
W 1-2P, 76 BARROWS
W 2-3P, 76 BARROWS
Th 10-11A, 76 BARROWS
Th 11-12P, 76 BARROWS
Th 1-2P, 76 BARROWS
Th 2-3P, 76 BARROWS
Th 3-4P, 76 BARROWS
Th 4-5P, 76 BARROWS
F 9-10A, 76 BARROWS
F 10-11A, 76 BARROWS
F 11-12P, 76 BARROWS
Th 5-6P, 76 BARROWS
TuTh 330-5P, 186 BARROWS
TuTh 5-630P, 186 BARROWS
TuTh 330-5P, 80 BARROWS
M 9-10A, 101 2251 COLLEGE
W 5-7P, 210 WHEELER
MWF 2-3P, 159 MULFORD
M 9-10A, 65 BARROWS
M 10-11A, 65 BARROWS
M 11-12P, 65 BARROWS
M 1-2P, 65 BARROWS
W 9-10A, 65 BARROWS
W 10-11A, 65 BARROWS
W 11-12P, 65 BARROWS
W 12-1P, 65 BARROWS
TuTh 330-5P, 110 WHEELER (effective 09/01/15)
TuTh 330-5P, 160 KROEBER
M 1-2P, 101 2251 COLLEGE
W 10-11A, 101 2251 COLLEGE
F 12-1P, 101 2251 COLLEGE
F 1-2P, 101 2251 COLLEGE
MWF 11-12P, 101 MOFFITT
W 10-1P, 3007 VALLEY LSB
F 10-1P, 3007 VALLEY LSB
Tu 6-9P, OFF CAMPUS
TuTh 11-1230P, 101 2251 COLLEGE
M 10-11A, 12 2224 PIEDMNT
M 11-12P, 12 2224 PIEDMNT
W 10-11A, 12 2224 PIEDMNT
TuTh 2-330P, 101 MOFFITT
MWF 10-11A, 102 MOFFITT
MWF 11-12P, 155 KROEBER
M 12-1P, 15 2224 PIEDMNT
M 1-2P, 15 2224 PIEDMNT
W 9-10A, 15 2224 PIEDMNT
Th 9-10A, 15 2224 PIEDMNT
TuTh 1230-2P, 170 BARROWS
TuTh 2-330P, 101 2251 COLLEGE
TuTh 11-1230P, 160 KROEBER (effective 09/03/15)
TuTh 2-330P, F295 HAAS
Tu 1-2P, 101 2251 COLLEGE
W 9-10A, 101 2251 COLLEGE
Th 1-2P, 101 2251 COLLEGE
F 11-12P, 101 2251 COLLEGE
TuTh 930-11A, 155 BARROWS
TuTh 11-1230P, 155 KROEBER
W 10-11A, 15 2224 PIEDMNT
W 11-12P, 15 2224 PIEDMNT
Th 2-3P, 15 2224 PIEDMNT
MW 4-530P, 141 MCCONE
Tu 9-10A, 15 2224 PIEDMNT
Tu 2-3P, 15 2224 PIEDMNT
Th 10-11A, 15 2224 PIEDMNT
TuTh 2-330P, 150 GSPP
TuTh 2-330P, 130 WHEELER
W 10-12P, 262 DWINELLE
F 10-12P, 15 2224 PIEDMNT
MTWTF 11-12P, 305 KROEBER
W 5-7P, 210 WHEELER
W 2-5P, 101 2251 COLLEGE
